Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Type_L,Type_M,temp_diff,thermal_load,power,speed_torque_ratio,wear_torque_interaction,normalized_wear,log_power,log_tool_wear
302.0,310.9,1456,47.2,54,False,True,8.899999999999977,452670.39999999997,7196.676675039404,30.847456973570825,2548.8,59.400000000000006,8.88151356890815,4.007333185232471
297.0,308.3,1399,46.4,132,False,True,11.300000000000011,431311.7,6797.736295935547,30.15086141916247,6124.8,145.20000000000002,8.824492035061015,4.890349128221754
301.0,311.6,1357,45.6,137,False,True,10.600000000000023,422841.2,6479.974671000451,29.758771277219928,6247.2,150.70000000000002,8.776626190226969,4.927253685157205
298.9,309.8,1411,56.3,84,True,False,10.900000000000034,437127.8,8318.864042877189,25.06216651754589,4729.2,84.0,9.026401192681401,4.442651256490317
297.1,308.5,1733,28.7,50,True,False,11.399999999999977,534630.5,5208.45693236203,60.38327315737724,1435.0,50.0,8.558230893683413,3.9318256327243257
298.3,308.9,1706,31.8,8,False,False,10.599999999999966,526983.3999999999,5681.130491045638,53.64779705510072,254.4,9.6,8.645081527839556,2.1972245773362196
300.7,311.0,1263,52.3,104,False,True,10.300000000000011,392793.0,6917.252952453614,24.149139117607284,5439.2,114.4,8.841918553219173,4.653960350157523
297.6,309.0,1413,40.2,51,False,False,11.399999999999977,436617.0,5948.3543621599865,35.14925285698376,2050.2000000000003,61.199999999999996,8.691037982090632,3.9512437185814275
303.9,313.2,1608,40.6,79,False,True,9.300000000000011,503625.6,6836.608269035965,39.60591035453423,3207.4,86.9,8.830193281198797,4.382026634673881
297.3,308.6,1431,42.0,109,False,False,11.300000000000011,441606.60000000003,6293.866722201792,34.0714277602041,4578.0,130.79999999999998,8.747489774245071,4.700480365792417
298.9,310.1,1466,42.5,187,True,False,11.200000000000045,454606.60000000003,6524.564342730401,34.49411683543255,7947.5,187.0,8.78348271775825,5.236441962829949
297.9,308.6,1691,29.6,116,True,False,10.700000000000045,521842.60000000003,5241.600734857403,57.12837644836566,3433.6000000000004,116.0,8.564572977633414,4.762173934797756
299.2,310.7,1540,36.3,175,True,False,11.5,478478.0,5854.04375069922,42.42424125553055,6352.499999999999,175.0,8.675058748369267,5.170483995038151
298.4,308.4,1515,40.1,179,True,False,10.0,467225.99999999994,6361.882203152011,37.78054768627063,7177.900000000001,179.0,8.758236730276895,5.19295685089021
300.4,309.8,1421,47.2,0,False,True,9.400000000000034,440225.8,7023.679639581725,30.105931565552297,0.0,0.0,8.857184890255587,0.0
298.7,309.9,1617,33.0,203,True,False,11.199999999999989,501108.3,5587.9508529401655,48.99999851515157,6699.0,203.0,8.628546865697338,5.318119993844216
297.7,308.7,1249,60.4,143,True,False,11.0,385566.3,7900.016438325086,20.678807604655503,8637.199999999999,143.0,8.974746693257854,4.969813299576001
298.9,310.0,1564,33.8,183,True,False,11.100000000000023,484840.0,5535.821358841598,46.27218798011279,6185.4,183.0,8.619175853135008,5.214935757608986
298.1,308.7,1568,32.9,10,True,False,10.599999999999966,484041.6,5402.198951308912,47.659573019465874,329.0,10.0,8.594746455544245,2.3978952727983707
304.1,313.2,1434,50.1,43,True,False,9.099999999999966,449128.8,7523.4232549637645,28.622753919705513,2154.3,43.0,8.92590944282115,3.784189633918261
302.5,311.1,1571,34.2,201,True,False,8.600000000000023,488738.10000000003,5626.403947020104,45.935671171471604,6874.200000000001,201.0,8.635403504135903,5.308267697401205
299.2,308.8,1908,21.3,104,False,False,9.600000000000023,589190.4,4255.852735965021,89.5774605832178,2215.2000000000003,124.8,8.356285371845955,4.653960350157523
299.6,310.2,1468,48.0,9,True,False,10.599999999999966,455373.6,7378.972824751707,30.58333269618057,432.0,9.0,8.906525235304771,2.302585092994046
301.0,312.2,1489,40.3,117,False,False,11.199999999999989,464865.8,6283.886929538887,36.947889902037474,4715.099999999999,140.4,8.74590313033569,4.770684624465665
